symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
8054,空,兩者,2026-02-09 12:55:00,127.5,2026-02-09 13:25:00,126.5,收盤平倉,0.784,0.513,131.0,128.0
8054,空,兩者,2026-02-10 09:45:00,126.5,2026-02-10 13:25:00,124.0,收盤平倉,1.976,1.705,132.0,127.0
8054,空,兩者,2026-02-11 09:15:00,123.5,2026-02-11 13:25:00,120.5,收盤平倉,2.429,2.158,125.5,123.5
8054,空,兩者,2026-02-23 09:10:00,119.5,2026-02-23 10:00:00,120.0,移動停利,-0.418,-0.69,122.0,120.5
8054,空,兩者,2026-02-24 10:55:00,120.5,2026-02-24 13:25:00,119.0,收盤平倉,1.245,0.974,122.5,120.5
8054,空,兩者,2026-02-25 10:00:00,120.5,2026-02-25 13:25:00,121.0,收盤平倉,-0.415,-0.686,122.0,120.5
8054,空,兩者,2026-02-26 11:25:00,122.5,2026-02-26 13:25:00,121.0,收盤平倉,1.224,0.953,124.5,122.5
8054,空,兩者,2026-03-02 09:05:00,117.5,2026-03-02 13:25:00,117.5,收盤平倉,0.0,-0.271,121.5,121.0
8054,空,兩者,2026-03-03 10:05:00,118.0,2026-03-03 11:05:00,119.5,移動停利,-1.271,-1.542,124.0,119.0
8054,空,兩者,2026-03-04 09:05:00,115.5,2026-03-04 09:35:00,112.0,移動停利,3.03,2.759,120.5,118.5
8054,空,兩者,2026-03-05 09:55:00,107.0,2026-03-05 10:50:00,108.0,移動停利,-0.935,-1.206,111.5,108.5
8054,空,兩者,2026-03-06 09:20:00,105.5,2026-03-06 13:25:00,106.0,收盤平倉,-0.474,-0.745,107.5,106.5
8054,空,兩者,2026-03-09 09:05:00,97.3,2026-03-09 12:45:00,96.6,移動停利,0.719,0.448,107.0,105.5
8054,空,兩者,2026-03-10 09:40:00,100.0,2026-03-10 13:25:00,99.9,收盤平倉,0.1,-0.171,102.0,100.0
8054,空,兩者,2026-03-11 12:15:00,103.0,2026-03-11 13:25:00,103.5,收盤平倉,-0.485,-0.757,104.0,103.0
8054,空,兩者,2026-03-12 09:05:00,103.0,2026-03-12 11:05:00,101.5,移動停利,1.456,1.185,104.0,103.0
8054,空,兩者,2026-03-13 09:05:00,99.1,2026-03-13 10:00:00,101.0,移動停利,-1.917,-2.189,101.0,100.0
8054,空,兩者,2026-03-16 09:10:00,99.2,2026-03-16 09:45:00,100.5,移動停利,-1.31,-1.582,102.0,100.5
8054,空,兩者,2026-03-17 10:50:00,100.5,2026-03-17 13:25:00,99.8,收盤平倉,0.697,0.425,103.0,101.0
8054,空,兩者,2026-03-18 09:35:00,100.0,2026-03-18 10:35:00,101.5,移動停利,-1.5,-1.771,102.0,99.9
8054,空,兩者,2026-03-19 09:05:00,99.9,2026-03-19 13:25:00,96.2,收盤平倉,3.704,3.432,101.0,100.5
8054,空,兩者,2026-03-20 12:00:00,101.5,2026-03-20 13:25:00,100.5,收盤平倉,0.985,0.714,104.0,102.5
8054,空,兩者,2026-03-23 09:05:00,99.1,2026-03-23 13:25:00,97.4,收盤平倉,1.715,1.444,102.0,100.5
8054,空,兩者,2026-03-24 09:35:00,99.1,2026-03-24 10:20:00,98.8,移動停利,0.303,0.031,102.0,99.5
8054,空,兩者,2026-03-25 10:10:00,98.7,2026-03-25 13:25:00,98.5,收盤平倉,0.203,-0.069,100.5,99.3
8054,空,兩者,2026-03-26 10:25:00,101.0,2026-03-26 12:45:00,103.0,移動停利,-1.98,-2.251,105.0,101.0
8054,空,兩者,2026-03-27 09:05:00,99.4,2026-03-27 09:10:00,101.0,移動停利,-1.61,-1.881,103.5,102.0
8054,空,兩者,2026-03-30 09:05:00,97.1,2026-03-30 13:25:00,96.7,收盤平倉,0.412,0.141,100.0,98.9
8054,空,兩者,2026-03-31 09:10:00,95.2,2026-03-31 09:30:00,97.0,移動停利,-1.891,-2.162,97.0,95.9
8054,空,兩者,2026-04-01 10:40:00,93.0,2026-04-01 11:00:00,94.8,移動停利,-1.935,-2.207,95.5,93.4
8054,空,兩者,2026-04-02 09:25:00,94.3,2026-04-02 13:25:00,92.3,收盤平倉,2.121,1.85,96.4,94.7
8054,空,兩者,2026-04-07 09:35:00,91.2,2026-04-07 13:25:00,90.5,收盤平倉,0.768,0.496,94.0,92.1
8054,空,兩者,2026-04-08 10:50:00,96.1,2026-04-08 12:20:00,97.9,移動停利,-1.873,-2.144,97.3,96.0
8054,空,兩者,2026-04-09 09:25:00,96.7,2026-04-09 13:25:00,95.4,收盤平倉,1.344,1.073,99.0,97.2
8054,空,兩者,2026-04-10 10:15:00,95.7,2026-04-10 10:25:00,97.3,移動停利,-1.672,-1.943,97.2,95.9
